word,colour,congruent,correctAns,n,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response.started_mean,response.started_raw,response.started_std,response.stopped_raw,target.started_mean,target.started_raw,target.started_std,target.stopped_raw,order
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.6621649265289307,0.6621649265289307,0.0,91.02268981933594,91.02268981933594,0.0,,91.02268981933594,91.02268981933594,0.0,,22.0
red,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',0.9105175733566284,0.9105175733566284,0.0,84.15272521972656,84.15272521972656,0.0,,84.15272521972656,84.15272521972656,0.0,,17.0
green,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.5196126103401184,0.5196126103401184,0.0,69.34740447998047,69.34740447998047,0.0,,69.34740447998047,69.34740447998047,0.0,,7.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',1.1348788738250732,1.1348788738250732,0.0,70.37791442871094,70.37791442871094,0.0,,70.37791442871094,70.37791442871094,0.0,,8.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.6755385994911194,0.6755385994911194,0.0,85.57562255859375,85.57562255859375,0.0,,85.57562255859375,85.57562255859375,0.0,,18.0
blue,red,0.0,left,1.0,0.0,0.0,0.0,'left',0.9174968004226685,0.9174968004226685,0.0,67.91252136230469,67.91252136230469,0.0,,67.91252136230469,67.91252136230469,0.0,,6.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.932719349861145,0.932719349861145,0.0,66.4774398803711,66.4774398803711,0.0,,66.4774398803711,66.4774398803711,0.0,,5.0
blue,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.8372184634208679,0.8372184634208679,0.0,72.01358032226562,72.01358032226562,0.0,,72.01358032226562,72.01358032226562,0.0,,9.0
blue,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.2338844537734985,1.2338844537734985,0.0,74.91445922851562,74.91445922851562,0.0,,74.91445922851562,74.91445922851562,0.0,,11.0
red,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.8313862681388855,0.8313862681388855,0.0,60.45905685424805,60.45905685424805,0.0,,60.45905685424805,60.45905685424805,0.0,,0.0
yellow,red,0.0,left,1.0,0.0,0.0,0.0,'left',1.476564884185791,1.476564884185791,0.0,80.76669311523438,80.76669311523438,0.0,,80.76669311523438,80.76669311523438,0.0,,15.0
green,red,0.0,left,1.0,0.0,0.0,0.0,'left',0.7364932298660278,0.7364932298660278,0.0,65.21350860595703,65.21350860595703,0.0,,65.21350860595703,65.21350860595703,0.0,,4.0
green,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.0296696424484253,1.0296696424484253,0.0,92.20616912841797,92.20616912841797,0.0,,92.20616912841797,92.20616912841797,0.0,,23.0
red,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.7079678773880005,0.7079678773880005,0.0,61.80831527709961,61.80831527709961,0.0,,61.80831527709961,61.80831527709961,0.0,,1.0
yellow,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.5682463049888611,0.5682463049888611,0.0,63.04317092895508,63.04317092895508,0.0,,63.04317092895508,63.04317092895508,0.0,,2.0
yellow,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.8943220973014832,0.8943220973014832,0.0,76.66500854492188,76.66500854492188,0.0,,76.66500854492188,76.66500854492188,0.0,,12.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',1.0334646701812744,1.0334646701812744,0.0,73.36431121826172,73.36431121826172,0.0,,73.36431121826172,73.36431121826172,0.0,,10.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.6098421812057495,0.6098421812057495,0.0,79.63356018066406,79.63356018066406,0.0,,79.63356018066406,79.63356018066406,0.0,,14.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',1.0514709949493408,1.0514709949493408,0.0,78.06604766845703,78.06604766845703,0.0,,78.06604766845703,78.06604766845703,0.0,,13.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',1.132431149482727,1.132431149482727,0.0,88.13728332519531,88.13728332519531,0.0,,88.13728332519531,88.13728332519531,0.0,,20.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.8710333704948425,0.8710333704948425,0.0,82.76901245117188,82.76901245117188,0.0,,82.76901245117188,82.76901245117188,0.0,,16.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.5752328038215637,0.5752328038215637,0.0,64.12593841552734,64.12593841552734,0.0,,64.12593841552734,64.12593841552734,0.0,,3.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.8615679740905762,0.8615679740905762,0.0,86.75442504882812,86.75442504882812,0.0,,86.75442504882812,86.75442504882812,0.0,,19.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.706970751285553,0.706970751285553,0.0,89.78878784179688,89.78878784179688,0.0,,89.78878784179688,89.78878784179688,0.0,,21.0

extraInfo
participant,1
session,001
date,2021_Aug_11_2034
expName,arl-stroop
psychopyVersion,2021.2.1
frameRate,62.481040524868106
